"","Linf","K","t0"
"1",22.2012365971111,0.172531460817305,-0.904678274949292
"2",27.6539934035874,0.129904586587588,-0.961017540912201
"3",19.7459592142827,0.200379738865178,-0.907140154084468
"4",17.3890536401863,0.247479558812668,-0.834367019684215
"5",15.8083938922388,0.284247012888132,-0.807993838766001
"6",16.5575623379672,0.271327144953974,-0.79174743005024
"7",17.3903667041506,0.237100088347591,-0.868473934624872
"8",17.3397474393335,0.240876938086077,-0.87094588349421
"9",16.7670732116028,0.259309658858789,-0.815772444720469
"10",16.5469226346987,0.274857758043713,-0.770153716213568
"11",15.7261932915836,0.27631863552463,-0.846435077469588
"12",16.6922052811578,0.265747921084398,-0.773453046130759
"13",14.9663935054069,0.305576622652167,-0.786062892859592
"14",15.919002719856,0.280055770708302,-0.797260768675586
"15",18.5372971079327,0.223177224532906,-0.872228379674031
"16",17.8836081002454,0.236195365513122,-0.830440950275319
"17",19.1591000093486,0.21541228366214,-0.832833634699831
"18",15.9258772453963,0.28060525277377,-0.810517405233121
"19",20.817649573445,0.190123804280588,-0.872990544207646
"20",13.500718324389,0.36210392310965,-0.748816125607414
"21",16.2429257544276,0.28115085280347,-0.758717126435565
"22",16.4900322369658,0.266417164151227,-0.809885572300326
"23",16.9215593643533,0.249603909465135,-0.839226953092777
"24",18.5278158204393,0.227390805177374,-0.830173514976909
"25",16.0040892399859,0.278374324251193,-0.793342624478113
"26",16.1425300027364,0.279457949448078,-0.798095399833504
"27",17.9996153779284,0.235892776655164,-0.839330428824555
"28",15.8905401939182,0.283045412469202,-0.790686656024094
"29",18.1791658518525,0.230934087362997,-0.839188959226994
"30",17.0491246604732,0.254781950343663,-0.831691260060697
"31",15.7151400391757,0.287848312187762,-0.781109936324463
"32",31.7903747623562,0.109872211040085,-0.978869878058084
"33",20.8969564728873,0.18592275264371,-0.922995557413747
"34",17.0761366490114,0.25616556357335,-0.79081542599789
"35",18.2167912113221,0.232760796523895,-0.825021233759279
"36",15.2468834145169,0.304651158066818,-0.76457914857098
"37",19.2446701628666,0.206915623315697,-0.88120027059752
"38",21.8544722583789,0.173190472859309,-0.944386404087778
"39",16.8991008504459,0.25671621019327,-0.819422918744231
"40",24.9408869518362,0.152964297056961,-0.90654933478663
"41",19.1295121419451,0.211076612497586,-0.881743872848796
"42",19.2763459351005,0.205453971626341,-0.899338351246911
"43",15.2970527989771,0.296326390739724,-0.787052153188548
"44",26.2167971428907,0.1386717556794,-0.949926284978912
"45",16.4315355033846,0.269492211708184,-0.810267644062253
"46",17.6036451604329,0.238868440028062,-0.84638358816865
"47",15.8516313550473,0.285832054549025,-0.795392397419777
"48",14.0299149965756,0.35419453088427,-0.714872527465602
"49",15.918922406097,0.273082190774916,-0.841257613046736
"50",16.4571322282105,0.276955062267889,-0.77077347903674
"51",15.9543077061535,0.278235623302277,-0.796354238667336
"52",14.3128991700311,0.33442297166516,-0.767979618202674
"53",16.7085325491667,0.259927655307202,-0.81857518345956
"54",18.9834823108207,0.218315950881609,-0.825919696340887
"55",20.9273028187663,0.183846347865934,-0.927601634653965
"56",15.7142286681166,0.286307773257568,-0.806082697297117
"57",18.0967146745962,0.225437431169052,-0.891045165753727
"58",18.0999514005291,0.224991199869955,-0.893076172020278
"59",16.7790776423205,0.253791003399883,-0.843076301242202
"60",19.0735674724032,0.221923409375351,-0.829387108673855
"61",21.7496981519334,0.175414173918082,-0.939386577875264
"62",16.454355313589,0.271736634662066,-0.785400506774058
"63",17.7437599558636,0.235103116881673,-0.86246298619364
"64",19.0197382783219,0.21086514802044,-0.892209941340464
"65",15.55939220076,0.288483813318872,-0.814299547240558
"66",17.1150108442983,0.252973229692399,-0.78980104049342
"67",17.7440596471619,0.240570180470305,-0.846679767829984
"68",19.7100292375705,0.200956709119962,-0.908557118379234
"69",19.2564062774144,0.207962239113705,-0.896556017997328
"70",15.6875114024674,0.287877566442989,-0.786160186262991
"71",15.4026261423765,0.297584496096553,-0.784351024498237
"72",15.9430943457922,0.282077501091937,-0.80343678197722
"73",17.054329847181,0.250006648185475,-0.863716864026794
"74",14.8174856188926,0.315007191638132,-0.778348768738929
"75",17.3668614944197,0.242797660896453,-0.859444603038972
"76",15.598475760175,0.294261109214254,-0.790389561260332
"77",15.8952625357469,0.28622841459656,-0.784215163374013
"78",22.1697789472811,0.176450179494799,-0.888996111173746
"79",17.0430100935075,0.260626959806125,-0.780615272887774
"80",17.586702897969,0.245555346685527,-0.817830118690682
"81",15.7235308972647,0.281331008747167,-0.819972509287114
"82",17.1842125279154,0.247151945665162,-0.852335914922838
