"","Linf","K","t0"
"1",45.208753096481,0.0908568679477479,-0.87816951737994
"2",43.4062592019584,0.0934063097898984,-0.900372496102124
"3",48.6098600053446,0.0816174971379366,-0.926183670329089
"4",53.342847533105,0.0732086628175906,-0.931265817291172
"5",41.9780351349652,0.0990708455400991,-0.871054497364947
"6",38.6104395075568,0.109979524780476,-0.83958461566288
"7",46.7266743631262,0.0873212906588504,-0.875564550241113
"8",43.6851853160103,0.0947375709542417,-0.867871751988815
"9",49.3878345891084,0.0796686979986038,-0.926755844372251
"10",47.916197955309,0.084043664832519,-0.917237537598584
"11",43.3361622944987,0.0948208987137304,-0.863358664643422
"12",56.9837315081152,0.0682856521116041,-0.931094843302458
"13",36.5158434322838,0.118445582628253,-0.832355928743869
"14",43.2670732010985,0.0946742039406633,-0.879689779339441
"15",39.1488073260026,0.107371690885011,-0.858451835919805
"16",49.1557549285576,0.0814301372739461,-0.90149900636927
"17",44.7567592449325,0.0911479733905562,-0.885002861909191
"18",45.9270835817165,0.0883954855535613,-0.895331319645849
"19",55.3267305384166,0.0721017058908141,-0.896358451858155
"20",44.8602585448051,0.0913830314697084,-0.900185595602222
"21",41.1482995774341,0.102083029040446,-0.862757155209563
"22",46.005880422253,0.0874869440640602,-0.91817220178937
"23",65.9289621029476,0.0570653968930968,-0.96697548866231
"24",46.1930240917807,0.087145339548276,-0.892046015462895
"25",42.7811188942169,0.0956672230395735,-0.906119654316505
"26",51.3062406716816,0.07643702059774,-0.951769759892301
"27",42.8191541517119,0.0964300022331689,-0.873271445037215
"28",39.7110630162782,0.105637252874852,-0.867068210834135
"29",43.7392372565508,0.0939361259174521,-0.885627605215159
"30",54.0527956998885,0.0728259784066454,-0.93062725490107
"31",59.6857282707448,0.0641856386203665,-0.952516801893659
"32",40.9653788933575,0.102854647862265,-0.853029709575546
"33",40.7451237969983,0.101883179570943,-0.89039650441008
"34",41.5682467865099,0.0991095529915665,-0.879711179129071
"35",45.2519124076402,0.08934381913849,-0.90845834777713
"36",44.9970572304316,0.0897600400291361,-0.913007984466902
"37",37.122872111495,0.117704864920855,-0.804649424736061
