"","unit","COMID","length.km","width.km","area.kmsq","area.acre","unit.area.acre","proportion.area"
"1","1",12953620,0.276,0.00225699876983886,0.000622931660475525,0.153929765589779,36.3646800088556,0.00423294706710726
"2","1",12953248,2.559,0.01700784,0.04352306256,10.7547829765081,36.3646800088556,0.295748043813092
"3","1",12953246,5.897,0.005937504,0.035013461088,8.65201465863599,36.3646800088556,0.237923574647956
"4","1",12953238,1.588,0.00752171463641126,0.0119444828426211,2.95154598925389,36.3646800088556,0.0811651852438994
"5","1",12953242,4.588,0.00554022202461634,0.0254185386489398,6.28105768918415,36.3646800088556,0.172724129227992
"6","1",12952498,0.393,0.00662757995510433,0.002604638922356,0.643620294493006,36.3646800088556,0.0176990501315086
"7","1",12953592,3.771,0.00743450626358153,0.028035523119966,6.92772863519072,36.3646800088556,0.190507069868445
"8","10",12953284,2.681,0.00254259773989577,0.00681670454066056,1.68444437586889,78.504186834781,0.0214567457327333
"9","10",12952608,2.373,0.0109131008520987,0.0258967883220302,6.39923575708971,78.504186834781,0.0815145792231116
"10","10",12952678,2.239,0.0106045686486486,0.0237436292043242,5.86717855194946,78.504186834781,0.074737141909354
"11","10",12952694,0.607,0.018768311626851,0.0113923651574986,2.81511473805692,78.504186834781,0.0358594216634787
"12","10",12952592,0.651,0.0102464312334149,0.0066704267329531,1.64829834239515,78.504186834781,0.0209963112650812
"13","10",12953272,5.587,0.00500834077496448,0.0279815999097265,6.91440391975458,78.504186834781,0.0880768809733238
"14","10",12952650,3.855,0.00756233513513513,0.0291528019459459,7.20381424568969,78.504186834781,0.0917634400933387
"15","10",12952776,3.318,0.032004,0.106189272,26.2399405652806,78.504186834781,0.334248931467883
"16","10",12953294,2.033,0.00295309486642847,0.00600364186344908,1.48353221285983,78.504186834781,0.0188974916201865
"17","10",12952734,3.917,0.0188531894309509,0.0738479430010347,18.2482241258362,78.504186834781,0.232449056051509
"18","11",12953276,9.356,0.0174538105263158,0.163297851284211,40.3517778343533,141.63422234711,0.284901326569656
"19","11",12953268,16.108,0.025185624,0.405690031392,100.248189964546,141.63422234711,0.707796380728263
"20","11",12952584,0.316,0.0132451888000663,0.00418547966082095,1.03425454821022,141.63422234711,0.00730229270208103
"21","12",12952510,1.994,0.00615506398047534,0.0122731975770678,3.03277316910324,96.8455015294659,0.0313155812217101
"22","12",12952552,1.029,0.00102966490679776,0.00105952518909489,0.261814376025365,96.8455015294659,0.00270342320387185
"23","12",12952476,0.974,0.00425407314817209,0.00414346724631962,1.02387305449851,96.8455015294659,0.0105722314235421
"24","12",12952516,1.19,0.00511202472321941,0.0060833094206311,1.50321849496785,96.8455015294659,0.0155218205412513
"25","12",12952536,2.665,0.00534020915741527,0.0142316574045117,3.51671913185187,96.8455015294659,0.0363126740665583
"26","12",12952508,0.193,0.0038706783604275,0.000747040923562508,0.184597832388497,96.8455015294659,0.00190610642180764
"27","12",12952494,0.138,0.00956853622999125,0.00132045799973879,0.326292277736825,96.8455015294659,0.00336920427468227
"28","12",12953230,8.766,0.0217496571428571,0.190657494514285,47.1124929115265,96.8455015294659,0.486470637948962
"29","12",12953224,2.062,0.0020073106567975,0.00413907457431644,1.02278760160751,96.8455015294659,0.0105610233356716
"30","12",12952468,0.095,0.00116899780032815,0.000111054791031174,0.0274422365015147,96.8455015294659,0.000283360982886388
"31","12",12953362,2.275,0.00633558670842172,0.0144134597616594,3.56164347266649,96.8455015294659,0.0367765504480643
"32","12",12952474,0.306,0.00321022246398354,0.000982328073978963,0.242738553446478,96.8455015294659,0.00250645150898024
"33","12",12952534,0.458,0.00585287657504958,0.00268061747137271,0.662395002831101,96.8455015294659,0.00683970852925536
"34","12",12952522,1.071,0.00719202936048911,0.00770266344508384,1.90336958891063,96.8455015294659,0.0196536706284857
"35","12",12952514,0.138,0.00124143122256819,0.00017131750871441,0.0423334783428788,96.8455015294659,0.000437123848545495
"36","12",12953220,3.75,0.00562637537046116,0.0210989076392294,5.21365362073226,96.8455015294659,0.0538347526564873
"37","12",12952520,0.773,0.00199639143462748,0.00154321057896704,0.381335638799816,96.8455015294659,0.00393756687484129
"38","12",12952530,0.101,0.00127528777513777,0.000128804065288915,0.031828177687739,96.8455015294659,0.00032864900470421
"39","12",12953208,0.917,0.00435787423458683,0.00399617067311612,0.987475278588259,96.8455015294659,0.0101963980049999
"40","12",12952548,1.757,0.00189657284403835,0.00333227848697538,0.82342394667888,96.8455015294659,0.00850244909339798
"41","12",12953210,3.522,0.00463793806963117,0.016334817881241,4.03642140374073,96.8455015294659,0.0416789767205926
"42","12",12952490,0.155,0.00895472200206264,0.00138798191031971,0.342977799419077,96.8455015294659,0.0035414943802498
"43","12",12952504,0.228,0.00279658063572438,0.000637620384945159,0.157559428453114,96.8455015294659,0.00162691530287729
"44","12",12952532,1.477,0.00600865542928742,0.00887478406905752,2.19300690282318,96.8455015294659,0.0226443858329955
"45","12",12953200,1.373,0.00331077196858682,0.0045456899128697,1.12326443995111,96.8455015294659,0.0115985195203863
"46","12",12953228,0.802,0.00315201784759403,0.00252791831377041,0.624662219242071,96.8455015294659,0.00645009018877365
"47","12",12953206,3.495,0.00510445703182591,0.0178400773262316,4.40837911310218,96.8455015294659,0.0455197096765604
"48","12",12952518,0.176,0.00579637989592479,0.00102016286168276,0.252087733094754,96.8455015294659,0.00260298856543228
"49","12",12953218,5.511,0.00561892173913043,0.0309658777043478,7.65183502259846,96.8455015294659,0.0790107429023983
"50","12",12953202,0.604,0.00157248217163047,0.000949779231664804,0.234695559350123,96.8455015294659,0.00242340176511673
"51","12",12953602,0.113,0.00244783112518427,0.000276604917145823,0.0683505635670122,96.8455015294659,0.000705769111497823
"52","12",12952492,0.059,0.00615506398047534,0.000363148774848045,0.0897360165381599,96.8455015294659,0.000926589414283297
"53","12",12952544,1.932,0.00743871206000988,0.0143715916999391,3.5512976493038,96.8455015294659,0.0366697223228617
"54","12",12952542,0.351,0.00287107553293205,0.00100774751205915,0.249019833389963,96.8455015294659,0.00257131027726876
"55","13",12952478,1.741,0.00640213518280751,0.0111461173532679,2.75426558045705,66.2445031800196,0.0415772697845182
"56","13",12952512,0.869,0.00591455503029929,0.00513974832133008,1.27005946958749,66.2445031800196,0.0191722997172475
"57","13",12952482,0.628,0.00110277534761835,0.000692542918304324,0.171131082009974,66.2445031800196,0.00258332501256632
"58","13",12953236,1.509,0.00233197328041439,0.00351894768014531,0.869550908865305,66.2445031800196,0.0131263858452119
"59","13",12952480,0.751,0.00243582716823498,0.00182930620334447,0.452031407197687,66.2445031800196,0.00682368174713743
"60","13",12952528,0.469,0.0085412584192246,0.00400585019861634,0.98986714142941,66.2445031800196,0.0149426306170558
"61","13",12952506,0.365,0.00583857665740763,0.00213108047995378,0.52660145493621,66.2445031800196,0.00794936077194463
"62","13",12953278,12.976,0.0084234528,0.1093027235328,27.0092911939727,66.2445031800196,0.407721243233945
"63","13",12952502,0.067,0.00092038667582404,6.16659072802107e-05,0.0152379775419953,66.2445031800196,0.000230026293662224
"64","13",12952538,1.298,0.00198814030252458,0.0025806061126769,0.637681657889525,66.2445031800196,0.00962618220800333
"65","13",12952526,0.274,0.00606209697994191,0.00166101457250408,0.410445639561142,66.2445031800196,0.0061959199610231
"66","13",12952652,2.638,0.00868198736842105,0.0229030826778947,5.6594749818952,66.2445031800196,0.0854331259231511
"67","13",12953222,3.249,0.00691527748381744,0.0224677365449229,5.55189860963694,66.2445031800196,0.083809196886112
"68","13",12953212,0.666,0.00664851157087562,0.00442790870620316,1.09416006994812,66.2445031800196,0.0165169941266633
"69","13",12953274,1.708,0.00204745353001376,0.0034970506292635,0.864140029754148,66.2445031800196,0.0130447054211554
"70","13",12953214,2.217,0.00203686955050453,0.00451573979346854,1.1158636042715,66.2445031800196,0.0168446218283069
"71","13",12953232,6.259,0.00771923720930233,0.0483147056930233,11.9388237807483,66.2445031800196,0.180223614151118
