"","COMID","width.ft","PercentWoodyDebris","LengthFt","BottomWidthFt","width.km"
"1048","12952804",33.6,10,168,36.6,0.01024128
"1049","12952804",36.6,10,98.4,30.9,0.01115568
"1050","12952804",30.9,10,233.7,35.4,0.00941832
"1051","12952804",35.4,30,81.9,36.9,0.01078992
"1052","12952804",36.9,10,50.7,32.1,0.01124712
"1053","12952804",32.1,10,127.2,30.3,0.00978408
"1054","12952804",30.3,25,788.1,36,0.00923544
"1055","12952804",36,15,74.1,39,0.0109728
"1056","12952804",39,15,516.9,36.3,0.0118872
"931","12952908",38.4,30,633.6,49.2,0.01170432
"933","12952908",47.4,10,73.8,47.1,0.01444752
"934","12952908",47.1,30,688.2,31.2,0.01435608
"935","12952908",31.2,35,1209.9,36.6,0.00950976
"936","12952908",36.6,45,897.6,47.1,0.01115568
"937","12952908",47.1,25,406.5,25.2,0.01435608
"1001","12952908",28.8,0,57.3,39.3,0.00877824
"1002","12952908",39.3,30,782.4,38.7,0.01197864
"1003","12952908",38.7,35,329.4,30.6,0.01179576
"1004","12952908",30.6,50,43.8,45,0.00932688
"1005","12952908",45,60,464.1,41.1,0.013716
"1006","12952908",41.1,35,1551,42,0.01252728
"1007","12952908",42,40,786.6,36.3,0.0128016
"1008","12952908",36.3,30,1118.7,45.3,0.01106424
"1009","12952908",45.3,20,894.9,38.7,0.01380744
"1010","12952908",38.7,25,31.2,38.4,0.01179576
"1011","12952908",38.4,20,872.4,40.2,0.01170432
"1012","12952908",40.2,10,170.1,38.4,0.01225296
"1013","12952908",38.4,25,954.9,51.9,0.01170432
"1014","12952908",51.9,10,91.8,32.1,0.01581912
"1015","12952908",32.1,20,875.7,45,0.00978408
"1016","12952908",45.6,5,60.9,47.4,0.01389888
"1017","12952908",47.4,5,519,37.8,0.01444752
"1018","12952908",37.8,5,125.4,39.3,0.01152144
"1019","12952908",39.3,10,547.8,34.5,0.01197864
"1020","12952908",34.5,10,89.7,37.5,0.0105156
"1021","12952908",37.5,15,276,33.3,0.01143
"1022","12952908",33.3,5,81.9,39.3,0.01014984
"1023","12952908",39.3,10,924,43.2,0.01197864
"1024","12952908",43.2,10,782.7,39.9,0.01316736
"1025","12952908",39.9,5,391.2,33.9,0.01216152
"1026","12952908",33.9,5,51.6,27.3,0.01033272
"1027","12952908",27.3,10,146.7,34.2,0.00832104
"1028","12952908",34.2,30,44.1,28.5,0.01042416
"1029","12952908",28.5,10,628.8,27,0.0086868
"1030.1","12952908",27,15,179.7,26.4,0.0082296
"1031.1","12952908",26.4,10,190.2,43.5,0.00804672
"931.1","12952946",38.4,30,633.6,49.2,0.01170432
"983","12952946",27.9,10,85.5,65.1,0.00850392
"984","12952946",65.1,25,298.2,29.4,0.01984248
"985","12952946",29.7,0,151.8,36.6,0.00905256
"986","12952946",36.6,0,42.9,25.8,0.01115568
"987","12952946",25.8,15,911.1,25.8,0.00786384
"988","12952946",8.6,20,709.8,49.8,0.00262128
"989","12952946",49.8,80,38.7,51,0.01517904
"990","12952946",51,25,205.8,44.1,0.0155448
"991","12952946",44.1,30,39,31.2,0.01344168
"992","12952946",31.2,30,822,35.4,0.00950976
"993","12952946",35.4,25,949.5,25.8,0.01078992
"994","12952946",25.8,10,21.3,26.4,0.00786384
"995","12952946",26.4,45,90,45.9,0.00804672
"996","12952946",45.9,25,928.8,34.8,0.01399032
"997","12952946",34.8,30,488.7,36,0.01060704
"998","12952946",36,25,77.7,31.5,0.0109728
"999","12952946",31.5,20,105,28.5,0.0096012
"1000","12952946",28.5,15,562.5,34.2,0.0086868
"974","12953514",28.5,25,355.5,29.1,0.0086868
"975","12953514",29.1,30,153.9,38.7,0.00886968
"976","12953514",38.7,15,514.8,29.7,0.01179576
"980","12953514",29.7,15,129.3,41.4,0.00905256
"981","12953514",41.4,15,606,32.7,0.01261872
"982","12953514",32.7,20,372.9,27.9,0.00996696
"1030.2","12953320",27,15,179.7,26.4,0.0082296
"1031.2","12953320",26.4,10,190.2,43.5,0.00804672
"860","12953622",15,25,106.5,22.5,0.004572
"861","12953622",22.5,10,236.1,30.6,0.006858
"862","12953622",30.6,5,66.3,22.8,0.00932688
"863","12953622",22.8,5,85.2,25.2,0.00694944
"864","12953622",25.2,5,133.5,13.5,0.00768096
"865","12953622",13.5,5,159,16.2,0.0041148
"866","12953622",16.2,10,631.5,17.1,0.00493776
"867","12953622",17.1,10,372.9,19.8,0.00521208
"868","12953622",19.8,10,63.3,24.6,0.00603504
"869","12953622",24.6,10,198.6,16.8,0.00749808
"870","12953622",16.8,15,619.2,27,0.00512064
"871","12953622",27,10,273.9,15.9,0.0082296
"872","12953622",15.9,15,191.7,34.8,0.00484632
"873","12953622",34.8,10,333.9,32.1,0.01060704
"874","12953622",32.1,5,81.3,25.2,0.00978408
"875","12953622",25.2,10,355.8,20.7,0.00768096
"877","12953622",21,10,126.9,22.5,0.0064008
"878","12953622",22.5,15,555.6,22.8,0.006858
"879","12953622",22.8,15,61.5,20.7,0.00694944
"880","12953622",20.7,10,84,25.8,0.00630936
"881","12953622",25.8,10,310.8,22.5,0.00786384
"882","12953622",22.5,5,170.7,19.8,0.006858
"883","12953622",19.8,5,195.9,22.5,0.00603504
"885","12953622",30.3,0,152.1,17.7,0.00923544
"886","12953622",17.7,0,76.2,27.9,0.00539496
"887","12953622",27.9,10,151.5,24.3,0.00850392
"888","12953622",24.3,5,459.6,19.5,0.00740664
"889","12953622",19.5,5,215.7,31.8,0.0059436
"890","12953622",31.8,5,270.9,18.3,0.00969264
"891","12953622",18.3,10,239.1,19.5,0.00557784
"892","12953622",19.5,5,167.1,24,0.0059436
"893","12953622",24,5,534.3,34.2,0.0073152
"894","12953622",34.2,10,729.3,33,0.01042416
"895","12953622",33,5,187.2,26.4,0.0100584
"896","12953622",26.4,5,398.7,12,0.00804672
"897","12953622",12,0,70.5,14.7,0.0036576
"898","12953622",14.7,5,61.5,21.9,0.00448056
"899","12953622",21.9,0,20.4,18,0.00667512
"900","12953622",18,0,37.5,24,0.0054864
"901","12953622",24,0,149.7,21.9,0.0073152
"902","12953622",21.9,5,156.3,21.6,0.00667512
"903","12953622",21.6,5,152.7,21,0.00658368
"904","12953622",21,15,322.2,21.6,0.0064008
"905","12953622",21.6,5,356.1,18.3,0.00658368
"906","12953622",18.3,0,74.4,85.5,0.00557784
"907","12953622",85.5,5,250.2,22.5,0.0260604
"908","12953622",22.5,10,234.6,21,0.006858
"909","12953622",21,5,294.3,22.8,0.0064008
"910","12953622",22.8,5,157.2,21.9,0.00694944
"911","12953622",21.9,0,96.3,16.2,0.00667512
"912","12953622",16.2,0,68.7,17.1,0.00493776
"913","12953622",17.1,5,261.6,20.1,0.00521208
"915","12953622",21,5,57,21,0.0064008
"916","12953622",21,35,27.3,21.6,0.0064008
"917","12953622",21.6,10,132.6,20.4,0.00658368
"918","12953622",20.4,5,192.6,29.4,0.00621792
"919","12953622",29.4,5,9,29.4,0.00896112
"921","12953622",38.7,20,866.4,41.1,0.01179576
"922","12953622",41.1,15,1308,28.5,0.01252728
"923","12953622",31.8,10,87.9,23.7,0.00969264
"924","12953622",23.7,40,132,38.1,0.00722376
"925","12953622",38.1,35,609,27.6,0.01161288
"926","12953622",27.6,5,87.3,31.5,0.00841248
"927","12953622",31.5,20,547.2,42.9,0.0096012
"928","12953622",42.9,40,87,22.2,0.01307592
"929","12953622",22.2,35,702.3,30.6,0.00676656
"930","12953622",30.6,25,248.4,38.4,0.00932688
"931.2","12953622",38.4,30,633.6,49.2,0.01170432
"942","12953338",17.1,45,885,26.4,0.00521208
"943","12953338",26.4,25,359.4,43.8,0.00804672
"944","12953338",43.8,15,87.3,20.4,0.01335024
"945","12953338",20.4,35,306,37.2,0.00621792
"946","12953338",37.2,20,107.1,22.2,0.01133856
"947","12953338",22.2,45,159.9,46.5,0.00676656
"948","12953338",46.5,20,77.1,43.5,0.0141732
"949","12953338",43.5,45,853.8,22.2,0.0132588
"950","12953338",22.2,60,917.4,30.9,0.00676656
"951","12953338",30.9,55,937.2,28.8,0.00941832
"952","12953338",28.8,50,919.2,31.2,0.00877824
"953","12953338",31.2,45,791.4,25.2,0.00950976
"954","12953338",25.2,15,32.4,22.2,0.00768096
"955","12953338",22.2,60,919.8,32.7,0.00676656
"956","12953338",32.7,55,998.4,41.1,0.00996696
"957","12953338",41.1,40,138.6,29.1,0.01252728
"958","12953338",29.1,25,125.7,27.6,0.00886968
"960","12953338",38.4,65,302.7,36.6,0.01170432
"961","12953338",36.6,15,668.1,33.6,0.01115568
"962","12953338",33.6,50,929.1,39.9,0.01024128
"963","12953338",39.9,50,963.3,75.9,0.01216152
"964","12953338",75.9,20,983.1,20.4,0.02313432
"965","12953338",20.4,20,1065,39.6,0.00621792
"966","12953338",39.6,45,986.4,39,0.01207008
"967","12953338",39,35,376.8,43.5,0.0118872
"968","12953338",43.5,45,350.7,45,0.0132588
"969","12953338",45,25,83.4,36.6,0.013716
"971","12953338",36.3,20,156.6,47.7,0.01106424
"972","12953338",47.7,35,340.8,33.6,0.01453896
"973","12953338",33.6,15,1142.7,28.5,0.01024128
"938","12953342",11.8,35,80.7,18.6,0.00359664
"939","12953342",18.6,60,963,17.4,0.00566928
"940","12953342",17.4,50,905.7,27.6,0.00530352
"941","12953342",27.6,45,771,17.1,0.00841248
"942.1","12953342",17.1,45,885,26.4,0.00521208
"942.2","12953020",17.1,45,885,26.4,0.00521208
"857","12953334",12,35,139.8,27.6,0.0036576
"858","12953334",27.6,85,653.1,36.6,0.00841248
"859","12953334",22.2,70,952.5,63.3,0.00676656
"842","12952970",31.8,25,484.5,16.2,0.00969264
"844","12952970",14.4,0,40.8,24.6,0.00438912
"845","12952970",24.6,0,28.2,36.9,0.00749808
"846","12952970",36.9,10,65.7,21.3,0.01124712
"847","12952970",21.3,5,25.5,14.4,0.00649224
"848","12952970",14.4,10,291,15.9,0.00438912
"849","12952970",15.9,10,75.3,29.1,0.00484632
"850","12952970",29.1,10,571.2,17.4,0.00886968
"851","12952970",17.4,10,252,16.2,0.00530352
"852","12952970",16.2,10,134.7,15,0.00493776
"853","12952970",15,15,249.6,19.5,0.004572
"854","12952970",19.5,10,270,19.2,0.0059436
"855","12952970",19.2,10,75,15.9,0.00585216
"856","12952970",15.9,40,437.1,12,0.00484632
"857.1","12952970",12,35,139.8,27.6,0.0036576
"814","12953344",13.5,20,23.4,16.2,0.0041148
"815","12953344",16.2,35,825.6,19.5,0.00493776
"816","12953344",19.5,25,99.6,26.1,0.0059436
"817","12953344",26.1,15,16.2,25.8,0.00795528
"818","12953344",25.8,25,1083,39.6,0.00786384
"819","12953344",39.6,35,511.8,42.6,0.01207008
"820","12953344",42.6,60,109.8,25.8,0.01298448
"821","12953344",25.8,25,168.3,26.7,0.00786384
"822","12953344",26.7,70,1081.5,18.3,0.00813816
"823","12953344",18.3,75,456.3,21.9,0.00557784
"824","12953344",21.9,60,75.3,15.9,0.00667512
"825","12953344",15.9,40,1001.7,18.6,0.00484632
"827","12953344",19.5,55,394.2,16.2,0.0059436
"828","12953344",16.2,15,116.4,31.2,0.00493776
"829","12953344",31.2,15,130.5,20.7,0.00950976
"830","12953344",20.7,20,146.7,21.9,0.00630936
"831","12953344",21.9,60,972.3,45.9,0.00667512
"832","12953344",45.9,30,249.6,28.8,0.01399032
"833","12953344",28.8,15,151.2,22.2,0.00877824
"834","12953344",22.2,5,87,43.2,0.00676656
"835","12953344",43.2,25,82.2,26.4,0.01316736
"836","12953344",26.4,15,382.2,27.6,0.00804672
"837","12953344",27.6,15,357.3,45.6,0.00841248
"838","12953344",45.6,15,1058.1,28.2,0.01389888
"839","12953344",28.8,0,18.6,31.5,0.00877824
"840","12953344",31.5,10,93.6,27.3,0.0096012
"841","12953344",27.3,15,80.4,31.8,0.00832104
"802","12953350",21.6,20,1065.6,27,0.00658368
"803","12953350",27,15,705.6,53.4,0.0082296
"804","12953350",53.4,25,862.8,25.2,0.01627632
"805","12953350",25.2,15,33,18.3,0.00768096
"806","12953350",18.3,20,665.1,63.6,0.00557784
"807","12953350",63.6,15,859.8,36.3,0.01938528
"808","12953350",36.3,25,568.5,21.9,0.01106424
"809","12953350",21.9,20,1005.6,24.3,0.00667512
"810","12953350",24.3,25,859.2,21.9,0.00740664
"811","12953350",21.9,20,59.1,22.5,0.00667512
"812","12953350",22.5,20,924.6,18.3,0.006858
"857.2","12953336",12,35,139.8,27.6,0.0036576
"1336","12952758",153,5,183,147,0.0466344
"1338","12952758",120,5,234,117,0.036576
"1339","12952758",117,5,252,120,0.0356616
"1340","12952758",120,5,594,135,0.036576
"1341","12952758",135,5,342,78,0.041148
"1342","12952758",78,10,2808,126,0.0237744
"1343","12952758",126,15,381,93,0.0384048
"1344","12952758",96,5,495,156,0.0292608
"1345","12952758",156,10,513,90,0.0475488
"1346","12952758",90,15,2223,114,0.027432
"1327","12952748",144,5,294,168,0.0438912
"1328","12952748",168,15,834,132,0.0512064
"1329","12952748",132,5,222,135,0.0402336
"1330","12952748",135,10,264,138,0.041148
"1331","12952748",138,5,183,156,0.0420624
"1332","12952748",156,5,768,129,0.0475488
"1333","12952748",129,15,2529,108,0.0393192
"1334","12952748",108,5,462,147,0.0329184
"1312","12953304",168,5,315,174,0.0512064
"1313","12953304",174,10,1161,192,0.0530352
"1314","12953304",192,5,348,192,0.0585216
"1315","12953304",192,10,987,126,0.0585216
"1316","12953304",126,10,246,108,0.0384048
"1317","12953304",108,5,363,204,0.0329184
"1318","12953304",204,10,1704,153,0.0621792
"1319","12953304",153,5,414,141,0.0466344
"1321","12953304",108,5,222,105,0.0329184
"1322","12953304",105,5,399,114,0.032004
"1323","12953304",114,15,447,105,0.0347472
"1325","12953304",117,5,201,156,0.0356616
"1326","12953304",114,10,267,144,0.0347472
"1327.1","12953304",144,5,294,168,0.0438912
"1327.2","12952742",144,5,294,168,0.0438912
"1348","12953484",69,15,2433,81,0.0210312
"1.2","12953302",55.8,35,81.9,46.2,0.01700784
"2","12953302",46.2,35,172.2,45,0.01408176
"3","12953302",45,40,86.1,45,0.013716
"4","12953302",45,45,99,47.4,0.013716
"5","12953302",47.4,40,66,53.7,0.01444752
"6","12953302",53.7,25,150.9,51.6,0.01636776
"7","12953302",51.6,40,97.5,55.2,0.01572768
"8","12953302",55.2,15,120.6,51.6,0.01682496
"9","12953302",51.6,15,123.6,47.4,0.01572768
"11","12953302",53.1,25,69,54.6,0.01618488
"12","12953302",54.6,35,39.9,54.6,0.01664208
"13","12953302",54.6,45,44.1,48,0.01664208
"14","12953302",48,25,111.3,47.1,0.0146304
"15","12953302",47.1,25,36.3,50.1,0.01435608
"16","12953302",50.1,55,64.8,53.1,0.01527048
"17","12953302",53.1,40,45,42,0.01618488
"18","12953302",42,65,51.9,44.4,0.0128016
"19","12953302",44.4,60,120.3,49.8,0.01353312
"20","12953302",49.8,30,39.6,46.2,0.01517904
"21","12953302",46.2,30,132.3,55.5,0.01408176
"22","12953302",55.5,45,32.7,44.4,0.0169164
"23","12953302",44.4,30,79.5,53.1,0.01353312
"24","12953302",53.1,65,45,44.1,0.01618488
"25","12953302",44.1,40,84.9,43.2,0.01344168
"26","12953302",43.2,35,153.3,47.4,0.01316736
"27","12953302",47.4,45,46.5,43.2,0.01444752
"28","12953302",43.2,40,150.3,51.3,0.01316736
"29","12953302",51.3,40,50.4,52.2,0.01563624
"30","12953302",52.2,25,231.9,50.1,0.01591056
"31","12953302",50.1,15,180,41.4,0.01527048
"32","12953302",41.4,30,135.9,42.6,0.01261872
"33","12953302",42.6,25,122.4,46.2,0.01298448
"34","12953302",46.2,45,25.5,45,0.01408176
"35","12953302",45,25,77.4,46.8,0.013716
"36","12953302",46.8,20,153,45.6,0.01426464
"37","12953302",45.6,20,64.8,49.8,0.01389888
"38","12953302",49.8,10,129.6,45,0.01517904
"39","12953302",45,15,22.5,40.8,0.013716
"40","12953302",40.8,15,142.2,54.6,0.01243584
"41","12953302",54.6,20,40.5,59.4,0.01664208
"42","12953302",59.4,20,52.5,58.8,0.01810512
"43","12953302",58.8,15,258,37.2,0.01792224
"44","12953302",37.2,10,105,40.8,0.01133856
"45","12953302",40.8,15,74.7,42,0.01243584
"46","12953302",42,15,94.8,39.6,0.0128016
"47","12953302",39.6,50,31.8,47.1,0.01207008
"48","12953302",47.1,35,131.4,61.5,0.01435608
"49","12953302",61.5,5,318.9,45.6,0.0187452
"50","12953302",45.6,5,62.7,34.2,0.01389888
"51","12953302",34.2,15,55.8,39,0.01042416
"52","12953302",39,15,190.8,78,0.0118872
"53","12953302",78,15,166.5,30.6,0.0237744
"54","12953302",30.6,15,322.2,26.1,0.00932688
"55","12953302",26.1,45,81.3,57,0.00795528
"56","12953302",57,15,127.5,58.5,0.0173736
"57","12953302",58.5,20,147,48.3,0.0178308
"58","12953302",48.3,15,283.8,61.2,0.01472184
"59","12953302",61.2,20,15.9,50.4,0.01865376
"60","12953302",50.4,10,295.5,64.5,0.01536192
"61","12953302",64.5,15,98.4,60,0.0196596
"62","12953302",60,20,296.7,85.8,0.018288
"63","12953302",85.8,15,57,69,0.02615184
"64","12953302",69,0,99.6,81,0.0210312
"65","12953302",81,10,71.7,109.2,0.0246888
"66","12953302",109.2,25,209.7,93.9,0.03328416
"67","12953302",93.9,35,234.6,75.6,0.02862072
"68","12953302",75.6,25,234.3,78.9,0.02304288
"69","12953302",78.9,40,112.5,81.6,0.02404872
"70","12953302",81.6,15,223.8,32.7,0.02487168
"71","12953302",32.7,0,53.4,21.9,0.00996696
"72","12953302",2.9,25,102,46.2,0.00088392
"73","12953302",30,55,30,34.2,0.009144
"74","12953302",34.2,40,144.9,32.4,0.01042416
"75","12953302",32.4,40,144.3,43.8,0.00987552
"76","12953302",43.8,30,157.8,34.8,0.01335024
"77","12953302",34.8,30,120,39.3,0.01060704
"78","12953302",39.3,30,101.7,51.3,0.01197864
"79","12953302",51.3,30,305.1,52.5,0.01563624
"81","12953302",57,10,35.4,71.4,0.0173736
"82","12953302",71.4,30,235.8,76.5,0.02176272
"83","12953302",76.5,40,204.3,70.5,0.0233172
"84","12953302",70.5,30,188.7,68.7,0.0214884
"85","12953302",68.7,45,218.4,40.5,0.02093976
"86","12953302",40.5,15,181.3,46.5,0.0123444
"87","12953302",46.5,60,136.5,55.5,0.0141732
"88","12953302",55.5,40,308.7,57,0.0169164
"89","12953302",57,30,43.2,43.5,0.0173736
"90","12953302",43.5,25,195.9,30.6,0.0132588
"91","12953302",30.3,0,30.6,29.1,0.00923544
"92","12953302",29.1,5,45,32.1,0.00886968
"93","12953302",32.1,20,218.7,51.9,0.00978408
"95","12953302",39.3,30,123.6,39.3,0.01197864
"96","12953302",39.3,10,150.3,72.9,0.01197864
"97","12953302",72.9,30,37.5,46.8,0.02221992
"98","12953302",46.8,15,81,60,0.01426464
"99","12953302",60,30,45,33,0.018288
"100","12953302",33,50,26.1,42,0.0100584
"101","12953302",42,65,67.8,57.6,0.0128016
"102","12953302",57.6,40,225.3,47.1,0.01755648
"103","12953302",47.1,30,144.9,38.4,0.01435608
"104","12953302",38.4,15,178.5,69.6,0.01170432
"105","12953302",69.6,5,77.4,38.1,0.02121408
"106","12953302",38.1,10,64.2,31.2,0.01161288
"107","12953302",31.2,10,70.5,29.4,0.00950976
"108","12953302",29.4,15,72,28.8,0.00896112
"109","12953302",28.8,35,97.2,36,0.00877824
"110","12953302",36,10,70.2,30.9,0.0109728
"111","12953302",30.9,5,33,46.2,0.00941832
"112","12953302",46.2,25,67.2,36,0.01408176
"113","12953302",36,35,158.7,32.1,0.0109728
"114","12953302",32.1,30,92.1,30.6,0.00978408
"115","12953302",30.6,10,45.3,39.6,0.00932688
"116","12953302",39.6,20,68.1,34.2,0.01207008
"117","12953302",34.2,15,45,42.3,0.01042416
"118","12953302",42.3,35,117.9,51,0.01289304
"119","12953302",51,30,56.1,53.7,0.0155448
"120","12953302",53.7,15,129.9,57.6,0.01636776
"121","12953302",57.6,15,47.1,48.9,0.01755648
"122","12953302",48.9,25,92.1,29.4,0.01490472
"123","12953302",29.4,20,201.6,39.6,0.00896112
"124","12953302",39.6,10,137.4,25.8,0.01207008
"125","12953302",25.8,15,140.7,64.8,0.00786384
"126","12953302",64.8,10,165,49.8,0.01975104
"127","12953302",49.8,5,148.2,29.7,0.01517904
"128","12953302",22.4,10,53.1,30.9,0.00682752
"129","12953302",30.9,35,34.8,36.3,0.00941832
"130","12953302",36.3,40,26.4,44.7,0.01106424
"131","12953302",44.7,25,202.5,61.5,0.01362456
"132","12953302",61.5,30,185.4,55.8,0.0187452
"133","12953302",55.8,25,179.4,56.1,0.01700784
"134","12953302",56.1,15,214.5,43.5,0.01709928
"135","12953302",43.5,5,48.6,32.1,0.0132588
"136","12953302",32.1,40,15,30.9,0.00978408
"138","12953302",54.6,35,129.3,44.1,0.01664208
"139","12953302",44.1,25,72.3,40.2,0.01344168
"140","12953302",40.2,15,42.9,45,0.01225296
"141","12953302",45,10,383.1,30.3,0.013716
"142","12953302",30.3,20,127.5,57,0.00923544
"143","12953302",57,10,299.7,30.3,0.0173736
"144","12953302",30.3,5,226.8,22.5,0.00923544
"145","12953302",22.5,5,74.1,30.6,0.006858
"146","12953302",30.6,25,90.6,36.6,0.00932688
"147","12953302",36.6,15,300.3,42.3,0.01115568
"148","12953302",42.3,10,183.3,21.6,0.01289304
"149","12953302",21.6,10,268.8,28.5,0.00658368
"150","12953302",28.5,5,99.9,32.7,0.0086868
"151","12953302",30.3,10,54.3,27.6,0.00923544
"152","12953302",27.6,15,163.5,39.6,0.00841248
"153","12953302",39.6,30,32.1,36.9,0.01207008
"154","12953302",36.9,5,106.8,39.6,0.01124712
"155","12953302",39.6,15,23.7,37.2,0.01207008
"156","12953302",37.2,15,117.3,35.1,0.01133856
"157","12953302",35.1,10,115.5,26.4,0.01069848
"158","12953302",26.4,25,40.5,28.5,0.00804672
"159","12953302",28.5,15,77.4,26.4,0.0086868
"160","12953302",26.4,15,48.6,28.8,0.00804672
"161","12953302",28.8,15,120.6,33.3,0.00877824
"162","12953302",33.3,35,65.7,33,0.01014984
"164","12953302",36.9,25,82.5,32.1,0.01124712
"165","12953302",32.1,30,21.3,34.2,0.00978408
"166","12953302",34.2,10,145.5,48.3,0.01042416
"167","12953302",48.3,15,130.8,41.4,0.01472184
"168","12953302",41.4,45,76.2,54.3,0.01261872
"169","12953302",54.3,40,95.4,57,0.01655064
"170","12953302",57,10,126,39.6,0.0173736
"171","12953302",39.6,10,133.5,39.6,0.01207008
"172","12953302",39.6,50,33.6,45,0.01207008
"173","12953302",45,40,69.9,42.3,0.013716
"174","12953302",42.3,45,84.3,37.8,0.01289304
"175","12953302",37.8,25,45,59.1,0.01152144
"176","12953302",59.1,25,111.9,33.6,0.01801368
"177","12953302",33.6,45,22.2,32.7,0.01024128
"178","12953302",32.7,50,28.2,36.6,0.00996696
"179","12953302",36.6,10,166.8,42.6,0.01115568
"180","12953302",42.6,15,105,35.7,0.01298448
"181","12953302",35.7,25,18.6,36.3,0.01088136
"182","12953302",36.3,5,56.1,48.9,0.01106424
"183","12953302",48.9,25,13.5,53.1,0.01490472
"184","12953302",53.1,25,97.5,40.8,0.01618488
"185","12953302",40.8,50,46.8,29.1,0.01243584
"186","12953302",29.1,10,47.4,34.5,0.00886968
"187","12953302",34.5,20,21.9,36,0.0105156
"188","12953302",36,15,44.7,30.9,0.0109728
"189","12953302",30.9,5,71.1,36.3,0.00941832
"190","12953302",36.3,5,36.6,35.7,0.01106424
"191","12953302",35.7,20,185.7,42.3,0.01088136
"192","12953302",42.3,5,56.5,36.9,0.01289304
"193","12953302",36.9,5,40.8,21.6,0.01124712
"194","12953302",21.6,10,29.1,24.9,0.00658368
"195","12953302",24.9,15,20.7,23.1,0.00758952
"196","12953302",23.1,30,17.4,20.4,0.00704088
"197","12953302",20.4,15,180.6,34.5,0.00621792
"198","12953302",34.5,5,175.2,36.9,0.0105156
"199","12953302",36.9,10,148.5,38.7,0.01124712
"200","12953302",38.7,10,34.2,30.6,0.01179576
"201","12953302",30.6,5,22.2,31.8,0.00932688
"202","12953302",31.8,20,116.4,54,0.00969264
"203","12953302",54,30,93.6,41.1,0.0164592
"204","12953302",41.1,15,178.2,59.7,0.01252728
"205","12953302",59.7,15,71.7,38.1,0.01819656
"206","12953302",38.1,5,58.2,30,0.01161288
"207","12953302",30,15,18.6,27.6,0.009144
"208","12953302",27.6,5,88.5,39.6,0.00841248
"209","12953302",39.6,15,61.5,36.9,0.01207008
"210","12953302",36.9,10,147.3,43.2,0.01124712
"211","12953302",43.2,10,62.7,27.6,0.01316736
"212","12953302",27.6,15,125.4,21.3,0.00841248
"213","12953302",21.3,10,51,36.3,0.00649224
"214","12953302",36.3,30,29.4,30.6,0.01106424
"215","12953302",30.6,10,78.3,38.7,0.00932688
"216","12953302",38.7,5,109.5,33,0.01179576
"217","12953302",33,15,195.6,41.4,0.0100584
"218","12953302",41.4,5,114.6,35.1,0.01261872
"219","12953302",35.1,15,63.6,35.7,0.01069848
"220","12953302",35.7,5,67.2,31.2,0.01088136
"221","12953302",31.2,20,40.5,61.2,0.00950976
"222","12953302",61.2,15,61.2,60.3,0.01865376
"223","12953302",60.3,45,26.7,54.9,0.01837944
"224","12953302",54.9,10,50.7,32.1,0.01673352
"225","12953302",32.1,5,50.7,29.1,0.00978408
"226","12953302",29.1,15,48.3,33.6,0.00886968
"227","12953302",33.6,20,83.1,25.8,0.01024128
"228","12953302",25.8,10,90.9,33.3,0.00786384
"229","12953302",33.3,5,35.4,30.6,0.01014984
"230","12953302",30.6,5,99.9,29.7,0.00932688
"231","12953302",29.7,0,30.6,22.8,0.00905256
"232","12953302",22.8,25,25.2,31.2,0.00694944
"233","12953302",31.2,15,40.2,26.7,0.00950976
"234","12953302",26.7,10,56.4,31.2,0.00813816
"235","12953302",31.2,15,88.2,35.1,0.00950976
"236","12953302",35.1,15,40.2,76.2,0.01069848
"237","12953302",76.2,30,45,67.6,0.02322576
"238","12953302",67.6,15,103.8,29.4,0.02060448
"239","12953302",29.4,10,64.2,22.8,0.00896112
"240","12953302",22.8,5,47.4,30,0.00694944
"241","12953302",30,15,56.1,21.9,0.009144
"242","12953302",21.9,5,131.1,33,0.00667512
"243","12953302",33,45,42.3,33.3,0.0100584
"244","12953302",33.3,20,21.3,30.3,0.01014984
"245","12953302",30.3,65,32.4,20.4,0.00923544
"246","12953302",20.4,25,35.6,30.9,0.00621792
"247","12953302",30.9,10,147.6,25.8,0.00941832
"248","12953302",25.8,35,142.8,22.2,0.00786384
"249","12953302",22.2,55,28.5,41.4,0.00676656
"250","12953302",41.4,50,29.1,24.6,0.01261872
"251","12953302",24.6,25,30.9,25.2,0.00749808
"252","12953302",25.2,10,116.4,24.9,0.00768096
"253","12953302",24.9,10,132,51.3,0.00758952
"254","12953302",51.3,20,30.3,43.5,0.01563624
"255","12953302",43.5,70,144.6,87.3,0.0132588
"256","12953302",87.3,10,57,54,0.02660904
"257","12953302",54,40,20.7,36.9,0.0164592
"258","12953302",36.9,10,59.1,32.4,0.01124712
"259","12953302",32.4,15,171,45.3,0.00987552
"260","12953302",45.3,35,80.7,44.4,0.01380744
"261","12953302",44.4,15,30.6,33,0.01353312
"262","12953302",33,15,49.5,39.6,0.0100584
"263","12953302",39.6,20,33,33.3,0.01207008
"264","12953302",33.3,15,58.5,48.9,0.01014984
"265","12953302",48.9,5,37.8,30.6,0.01490472
"266","12953302",30.6,10,79.2,42.9,0.00932688
"267","12953302",42.9,10,36,31.2,0.01307592
"268","12953302",31.2,10,86.4,61.2,0.00950976
"269","12953302",61.2,15,20.4,44.8,0.01865376
"270","12953302",44.8,5,91.5,33.6,0.01365504
"271","12953302",33.6,45,53.1,55.8,0.01024128
